"ACT","Conservative","Green","Labour","Mana","Maori","National","NZ_First","United Future","NatCoal","LabGreen","LabGreenMaori","LabGreenNZFirst","NatCoalNZFirst","Total"
1,0,8,43,0,2,54,12,0,57,51,53,63,69,120
1,0,7,46,1,3,52,12,0,56,53,56,65,68,122
1,0,8,42,1,3,53,16,0,57,50,53,66,73,124
1,0,9,43,1,3,50,16,0,54,52,55,68,70,123
1,0,7,44,0,3,48,17,0,52,51,54,68,69,120
1,0,0,52,1,4,55,11,0,60,52,56,63,71,124
0,0,12,38,0,4,53,14,0,57,50,54,64,71,121
1,0,9,41,1,4,50,16,0,55,50,54,66,71,122
0,0,8,40,1,3,55,15,0,58,48,51,63,73,122
1,0,7,41,0,2,57,13,0,60,48,50,61,73,121
1,0,10,40,0,2,52,16,0,55,50,52,66,71,121
1,0,9,44,0,3,52,13,0,56,53,56,66,69,122
1,0,8,42,1,3,56,13,0,60,50,53,63,73,124
1,0,8,45,0,3,49,14,0,53,53,56,67,67,120
1,0,9,37,1,3,56,15,0,60,46,49,61,75,122
1,0,0,50,0,4,50,18,0,55,50,54,68,73,123
1,0,10,44,1,6,47,18,0,54,54,60,72,72,127
1,0,10,44,0,0,52,13,0,53,54,54,67,66,120
0,0,8,48,1,4,51,12,0,55,56,60,68,67,124
0,0,11,38,1,4,54,15,0,58,49,53,64,73,123
1,0,12,41,1,4,51,13,0,56,53,57,66,69,123
2,0,0,46,1,3,58,12,0,63,46,49,58,75,122
0,0,8,42,0,3,54,13,0,57,50,53,63,70,120
1,0,6,45,0,4,56,10,0,61,51,55,61,71,122
1,0,6,45,1,2,53,14,0,56,51,53,65,70,122
3,0,8,41,1,3,52,13,0,58,49,52,62,71,121
1,0,9,43,1,3,56,11,0,60,52,55,63,71,124
1,0,6,44,0,4,55,12,0,60,50,54,62,72,122
1,0,8,41,1,5,54,14,0,60,49,54,63,74,124
4,0,0,44,0,2,56,14,0,62,44,46,58,76,120
0,0,10,39,0,2,57,12,0,59,49,51,61,71,120
1,0,9,37,0,4,58,14,0,63,46,50,60,77,123
1,0,8,45,1,3,52,13,0,56,53,56,66,69,123
1,0,0,51,0,3,54,13,0,58,51,54,64,71,122
0,0,0,49,1,4,53,15,0,57,49,53,64,72,122
1,0,6,45,1,3,55,12,0,59,51,54,63,71,123
0,0,8,40,0,3,59,12,0,62,48,51,60,74,122
0,0,0,43,0,3,58,16,0,61,43,46,59,77,120
1,0,8,47,1,3,51,11,0,55,55,58,66,66,122
1,0,9,39,0,6,54,13,0,61,48,54,61,74,122
1,0,9,41,1,4,57,11,0,62,50,54,61,73,124
2,0,9,42,1,4,55,11,0,61,51,55,62,72,124
1,0,10,38,1,2,60,8,0,63,48,50,56,71,120
1,0,7,45,1,2,51,14,0,54,52,54,66,68,121
1,0,8,44,0,2,54,12,0,57,52,54,64,69,121
4,0,7,35,1,4,61,11,0,69,42,46,53,80,123
1,0,6,49,1,2,50,13,0,53,55,57,68,66,122
1,0,0,48,1,2,54,16,0,57,48,50,64,73,122
0,0,9,40,1,0,53,18,0,53,49,49,67,71,121
1,0,10,38,1,1,53,17,0,55,48,49,65,72,121
1,0,8,45,0,2,51,15,0,54,53,55,68,69,122
3,0,7,38,1,3,60,11,0,66,45,48,56,77,123
1,0,7,42,0,3,53,16,0,57,49,52,65,73,122
1,0,7,38,0,3,54,18,0,58,45,48,63,76,121
2,0,8,46,1,6,50,13,0,58,54,60,67,71,126
1,0,7,44,1,3,50,18,0,54,51,54,69,72,124
1,0,10,38,0,3,58,11,0,62,48,51,59,73,121
1,0,8,44,0,5,51,15,0,57,52,57,67,72,124
0,0,9,44,1,4,52,13,0,56,53,57,66,69,123
1,0,8,49,0,4,44,14,0,49,57,61,71,63,120
1,0,8,46,0,2,55,11,0,58,54,56,65,69,123
1,0,9,38,1,4,53,18,0,58,47,51,65,76,124
2,0,8,41,1,4,55,11,0,61,49,53,60,72,122
1,0,10,40,1,3,53,14,0,57,50,53,64,71,122
0,0,7,44,0,3,55,11,0,58,51,54,62,69,120
2,0,8,40,0,3,56,12,0,61,48,51,60,73,121
1,0,7,43,1,4,52,15,0,57,50,54,65,72,123
1,0,9,40,1,4,53,14,0,58,49,53,63,72,122
1,0,0,48,0,3,58,13,0,62,48,51,61,75,123
1,0,7,45,1,4,53,14,0,58,52,56,66,72,125
1,0,7,39,0,3,59,13,0,63,46,49,59,76,122
1,0,0,52,1,2,56,10,0,59,52,54,62,69,122
1,0,8,44,0,3,50,16,0,54,52,55,68,70,122
1,0,7,43,1,2,55,14,0,58,50,52,64,72,123
1,0,9,44,1,3,52,12,0,56,53,56,65,68,122
1,0,0,48,0,4,57,13,0,62,48,52,61,75,123
5,0,7,41,1,2,55,11,0,62,48,50,59,73,122
1,0,8,41,0,3,56,12,0,60,49,52,61,72,121
1,0,7,42,1,4,58,10,0,63,49,53,59,73,123
1,0,10,38,1,3,56,14,0,60,48,51,62,74,123
0,0,10,43,1,4,47,18,0,51,53,57,71,69,123
1,0,6,45,0,2,57,10,0,60,51,53,61,70,121
1,0,8,43,1,3,55,10,0,59,51,54,61,69,121
1,0,8,44,1,2,55,11,0,58,52,54,63,69,122
1,0,8,44,1,3,49,15,0,53,52,55,67,68,121
3,0,9,43,0,3,50,12,0,56,52,55,64,68,120
1,0,8,43,1,4,52,15,0,57,51,55,66,72,124
0,0,9,44,0,3,50,14,0,53,53,56,67,67,120
1,0,6,43,1,5,57,13,0,63,49,54,62,76,126
0,0,9,43,0,2,54,13,0,56,52,54,65,69,121
1,0,9,38,1,3,56,15,0,60,47,50,62,75,123
2,0,7,39,0,2,52,18,0,56,46,48,64,74,120
1,0,7,42,0,3,56,13,0,60,49,52,62,73,122
0,0,10,41,0,2,55,13,0,57,51,53,64,70,121
1,0,6,45,1,4,53,15,0,58,51,55,66,73,125
0,0,0,47,1,3,59,13,0,62,47,50,60,75,123
1,0,9,44,1,4,50,16,0,55,53,57,69,71,125
1,0,7,43,0,4,50,17,0,55,50,54,67,72,122
1,0,8,41,1,2,57,12,0,60,49,51,61,72,122
0,0,8,44,2,3,49,14,0,52,52,55,66,66,120
1,0,12,41,1,3,51,13,0,55,53,56,66,68,122
1,0,7,47,0,3,48,14,0,52,54,57,68,66,120
1,0,8,47,0,2,50,14,0,53,55,57,69,67,122
1,0,9,43,1,0,57,10,0,58,52,52,62,68,121
1,0,8,46,1,4,51,12,0,56,54,58,66,68,123
1,0,7,41,0,4,58,12,0,63,48,52,60,75,123
1,0,10,45,1,0,51,14,0,52,55,55,69,66,122
3,0,7,42,1,5,53,12,0,61,49,54,61,73,123
2,0,8,41,0,4,58,10,0,64,49,53,59,74,123
0,0,8,41,1,3,56,14,0,59,49,52,63,73,123
3,0,9,41,1,4,50,13,0,57,50,54,63,70,121
1,0,7,44,1,3,48,18,0,52,51,54,69,70,122
2,0,0,46,0,2,59,12,0,63,46,48,58,75,121
1,0,8,43,0,3,54,13,0,58,51,54,64,71,122
2,0,8,42,1,3,52,15,0,57,50,53,65,72,123
0,0,8,40,1,2,52,18,0,54,48,50,66,72,121
1,0,10,40,0,4,55,13,0,60,50,54,63,73,123
1,0,7,45,1,3,49,17,0,53,52,55,69,70,123
1,0,8,44,0,4,53,12,0,58,52,56,64,70,122
1,0,10,42,1,2,51,15,0,54,52,54,67,69,122
0,0,8,47,0,4,48,15,0,52,55,59,70,67,122
1,0,9,41,1,4,54,14,0,59,50,54,64,73,124
1,0,10,42,0,4,53,11,0,58,52,56,63,69,121
1,0,6,46,1,4,52,13,0,57,52,56,65,70,123
1,0,8,38,0,3,60,12,0,64,46,49,58,76,122
2,0,7,47,0,3,47,15,0,52,54,57,69,67,121
1,0,10,46,0,4,50,11,0,55,56,60,67,66,122
1,0,8,44,1,2,56,11,0,59,52,54,63,70,123
1,0,9,41,0,4,56,12,0,61,50,54,62,73,123
1,0,8,42,1,2,54,13,0,57,50,52,63,70,121
1,0,7,42,1,3,55,14,0,59,49,52,63,73,123
1,0,7,48,0,3,49,12,0,53,55,58,67,65,120
1,0,9,39,0,2,57,12,0,60,48,50,60,72,120
2,0,7,42,0,3,56,12,0,61,49,52,61,73,122
0,0,12,41,0,3,50,14,0,53,53,56,67,67,120
1,0,7,42,0,3,52,18,0,56,49,52,67,74,123
2,0,0,50,0,4,54,12,0,60,50,54,62,72,122
1,0,8,43,1,4,56,11,0,61,51,55,62,72,124
1,0,0,47,1,3,59,10,0,63,47,50,57,73,121
1,0,11,36,1,4,57,14,0,62,47,51,61,76,124
3,0,7,39,1,4,55,15,0,62,46,50,61,77,124
1,0,7,44,0,4,51,15,0,56,51,55,66,71,122
1,0,6,48,1,3,50,11,0,54,54,57,65,65,120
1,0,9,44,1,1,52,13,0,54,53,54,66,67,121
0,0,10,41,1,3,52,14,0,55,51,54,65,69,121
3,0,7,45,0,2,48,15,0,53,52,54,67,68,120
2,0,9,38,0,3,58,10,0,63,47,50,57,73,120
3,0,6,50,1,3,47,12,0,53,56,59,68,65,122
0,0,0,48,0,5,55,16,0,60,48,53,64,76,124
0,0,8,39,1,3,55,16,0,58,47,50,63,74,122
1,0,9,41,0,5,51,17,0,57,50,55,67,74,124
2,0,8,43,1,4,49,14,0,55,51,55,65,69,121
1,0,10,42,1,2,48,18,0,51,52,54,70,69,122
0,0,8,44,0,4,54,13,0,58,52,56,65,71,123
1,0,9,46,0,3,47,15,0,51,55,58,70,66,121
1,0,8,48,0,4,48,12,0,53,56,60,68,65,121
1,0,9,40,1,2,57,11,0,60,49,51,60,71,121
1,0,9,43,1,3,50,15,0,54,52,55,67,69,122
1,0,8,45,1,3,47,19,0,51,53,56,72,70,124
1,0,8,44,1,2,49,17,0,52,52,54,69,69,122
1,0,0,49,1,2,52,17,0,55,49,51,66,72,122
1,0,9,39,0,3,54,15,0,58,48,51,63,73,121
4,0,9,43,1,3,48,15,0,55,52,55,67,70,123
0,0,0,46,1,3,54,18,0,57,46,49,64,75,122
2,0,6,44,1,2,54,12,0,58,50,52,62,70,121
1,0,9,37,0,0,60,14,0,61,46,46,60,75,121
1,0,11,40,0,5,55,11,0,61,51,56,62,72,123
1,0,7,48,1,4,53,11,0,58,55,59,66,69,125
1,0,10,46,1,3,53,9,0,57,56,59,65,66,123
0,0,8,45,0,3,54,12,0,57,53,56,65,69,122
1,0,7,44,0,3,51,16,0,55,51,54,67,71,122
1,0,12,45,0,2,51,10,0,54,57,59,67,64,121
1,0,8,37,1,2,57,16,0,60,45,47,61,76,122
1,0,7,42,1,3,57,13,0,61,49,52,62,74,124
1,0,10,43,1,4,55,10,0,60,53,57,63,70,124
1,0,8,46,0,5,48,16,0,54,54,59,70,70,124
1,0,6,45,1,4,55,13,0,60,51,55,64,73,125
1,0,7,44,0,4,53,12,0,58,51,55,63,70,121
1,0,9,36,1,2,57,16,0,60,45,47,61,76,122
2,0,6,46,0,2,55,10,0,59,52,54,62,69,121
1,0,8,40,0,4,56,14,0,61,48,52,62,75,123
0,0,8,40,1,4,60,11,0,64,48,52,59,75,124
0,0,8,46,1,2,53,12,0,55,54,56,66,67,122
1,0,8,40,1,3,55,14,0,59,48,51,62,73,122
1,0,8,40,1,3,56,14,0,60,48,51,62,74,123
0,0,7,44,1,2,55,13,0,57,51,53,64,70,122
1,0,6,41,1,3,60,10,0,64,47,50,57,74,122
1,0,7,44,1,3,49,18,0,53,51,54,69,71,123
1,0,8,41,1,4,52,15,0,57,49,53,64,72,122
1,0,11,41,0,2,54,12,0,57,52,54,64,69,121
1,0,9,38,0,4,52,19,0,57,47,51,66,76,123
1,0,0,49,0,2,57,11,0,60,49,51,60,71,120
1,0,10,42,0,2,51,14,0,54,52,54,66,68,120
2,0,12,38,1,3,49,16,0,54,50,53,66,70,121
1,0,9,44,1,3,52,11,0,56,53,56,64,67,121
1,0,8,47,0,2,47,17,0,50,55,57,72,67,122
1,0,8,42,0,2,55,13,0,58,50,52,63,71,121
1,0,9,44,0,3,49,15,0,53,53,56,68,68,121
1,0,6,45,0,3,52,15,0,56,51,54,66,71,122
1,0,8,44,1,5,52,11,0,58,52,57,63,69,122
1,0,0,47,0,3,57,12,0,61,47,50,59,73,120
1,0,0,48,1,3,53,17,0,57,48,51,65,74,123
0,0,10,38,0,4,58,13,0,62,48,52,61,75,123
1,0,9,42,0,1,50,18,0,52,51,52,69,70,121
1,0,8,39,1,4,56,14,0,61,47,51,61,75,123
1,0,7,44,1,4,54,12,0,59,51,55,63,71,123
1,0,11,42,1,2,52,14,0,55,53,55,67,69,123
1,0,7,45,1,2,50,17,0,53,52,54,69,70,123
1,0,0,53,0,4,53,12,0,58,53,57,65,70,123
0,0,7,44,0,2,56,13,0,58,51,53,64,71,122
1,0,0,52,1,2,53,13,0,56,52,54,65,69,122
1,0,6,41,0,3,57,13,0,61,47,50,60,74,121
1,0,0,47,1,3,53,19,0,57,47,50,66,76,124
1,0,8,49,1,2,47,13,0,50,57,59,70,63,121
0,0,10,43,1,4,51,13,0,55,53,57,66,68,122
2,0,0,50,0,2,55,11,0,59,50,52,61,70,120
1,0,10,42,0,4,49,14,0,54,52,56,66,68,120
0,0,0,47,0,4,61,11,0,65,47,51,58,76,123
1,0,8,47,0,2,47,16,0,50,55,57,71,66,121
1,0,12,37,1,3,54,14,0,58,49,52,63,72,122
1,0,7,46,1,3,49,15,0,53,53,56,68,68,122
0,0,9,44,0,2,48,17,0,50,53,55,70,67,120
0,0,0,49,1,2,56,13,0,58,49,51,62,71,121
0,0,8,47,1,3,51,13,0,54,55,58,68,67,123
1,0,12,40,1,2,51,14,0,54,52,54,66,68,121
1,0,7,42,1,4,55,13,0,60,49,53,62,73,123
1,0,7,42,1,3,61,8,0,65,49,52,57,73,123
1,0,10,42,0,3,54,10,0,58,52,55,62,68,120
1,0,7,44,0,2,53,15,0,56,51,53,66,71,122
1,0,9,43,1,3,49,16,0,53,52,55,68,69,122
1,0,8,41,0,3,54,13,0,58,49,52,62,71,120
1,0,7,42,0,4,53,16,0,58,49,53,65,74,123
1,0,7,46,1,3,50,15,0,54,53,56,68,69,123
1,0,9,41,1,2,51,18,0,54,50,52,68,72,123
1,0,10,40,0,2,54,13,0,57,50,52,63,70,120
0,0,9,43,1,5,52,13,0,57,52,57,65,70,123
1,0,7,39,1,3,58,14,0,62,46,49,60,76,123
1,0,7,44,0,2,50,17,0,53,51,53,68,70,121
1,0,8,41,1,3,57,12,0,61,49,52,61,73,123
1,0,7,44,1,4,56,12,0,61,51,55,63,73,125
1,0,7,44,0,2,53,14,0,56,51,53,65,70,121
2,0,9,43,1,2,52,13,0,56,52,54,65,69,122
1,0,9,41,1,3,55,13,0,59,50,53,63,72,123
1,0,10,43,1,2,52,13,0,55,53,55,66,68,122
1,0,8,50,0,6,44,13,0,51,58,64,71,64,122
0,0,0,49,0,2,55,15,0,57,49,51,64,72,121
1,0,0,50,0,5,54,13,0,60,50,55,63,73,123
1,0,7,45,0,4,50,13,0,55,52,56,65,68,120
0,0,7,46,1,4,56,10,0,60,53,57,63,70,124
1,0,8,41,0,2,56,13,0,59,49,51,62,72,121
0,0,9,38,1,3,56,15,0,59,47,50,62,74,122
1,0,8,40,0,2,60,9,0,63,48,50,57,72,120
1,0,9,40,1,3,52,18,0,56,49,52,67,74,124
1,0,10,45,0,3,49,12,0,53,55,58,67,65,120
1,0,8,45,0,3,49,17,0,53,53,56,70,70,123
1,0,9,41,1,3,52,15,0,56,50,53,65,71,122
1,0,0,45,1,4,53,17,0,58,45,49,62,75,121
1,0,11,42,0,4,50,15,0,55,53,57,68,70,123
1,0,7,47,1,4,51,14,0,56,54,58,68,70,125
2,0,10,43,1,2,51,12,0,55,53,55,65,67,121
0,0,9,42,0,5,55,12,0,60,51,56,63,72,123
1,0,8,41,1,4,56,13,0,61,49,53,62,74,124
3,0,6,41,0,3,57,10,0,63,47,50,57,73,120
1,0,7,44,1,5,48,20,0,54,51,56,71,74,126
1,0,9,39,0,3,54,17,0,58,48,51,65,75,123
1,0,6,48,1,4,50,14,0,55,54,58,68,69,124
0,0,7,40,0,2,58,14,0,60,47,49,61,74,121
0,0,9,44,1,2,52,13,0,54,53,55,66,67,121
1,0,6,47,0,3,52,11,0,56,53,56,64,67,120
1,0,0,50,0,3,52,14,0,56,50,53,64,70,120
1,0,0,48,0,3,52,18,0,56,48,51,66,74,122
1,0,7,45,0,4,52,15,0,57,52,56,67,72,124
0,0,8,43,0,0,54,15,0,54,51,51,66,69,120
3,0,13,35,1,3,55,12,0,61,48,51,60,73,122
1,0,9,40,1,4,52,18,0,57,49,53,67,75,125
0,0,8,45,1,3,50,15,0,53,53,56,68,68,122
1,0,6,40,0,2,60,11,0,63,46,48,57,74,120
1,0,6,42,1,3,53,16,0,57,48,51,64,73,122
1,0,8,44,0,5,49,17,0,55,52,57,69,72,124
1,0,6,46,1,5,54,12,0,60,52,57,64,72,125
2,0,9,42,0,2,51,15,0,55,51,53,66,70,121
1,0,8,44,1,4,54,12,0,59,52,56,64,71,124
1,0,8,45,0,3,53,12,0,57,53,56,65,69,122
1,0,0,49,1,3,55,12,0,59,49,52,61,71,121
1,0,11,43,0,3,48,15,0,52,54,57,69,67,121
1,0,0,52,1,0,56,12,0,57,52,52,64,69,122
0,0,8,48,1,4,50,13,0,54,56,60,69,67,124
1,0,0,47,1,3,60,11,0,64,47,50,58,75,123
1,0,12,39,1,3,56,10,0,60,51,54,61,70,122
1,0,0,45,0,1,63,10,0,65,45,46,55,75,120
1,0,7,40,0,3,60,11,0,64,47,50,58,75,122
1,0,8,38,1,4,58,12,0,63,46,50,58,75,122
1,0,7,42,1,2,53,16,0,56,49,51,65,72,122
1,0,9,43,0,2,49,18,0,52,52,54,70,70,122
1,0,8,39,0,4,55,17,0,60,47,51,64,77,124
1,0,0,50,0,3,53,13,0,57,50,53,63,70,120
1,0,0,47,0,2,58,13,0,61,47,49,60,74,121
1,0,14,39,1,2,51,14,0,54,53,55,67,68,122
1,0,8,46,1,3,51,11,0,55,54,57,65,66,121
0,0,8,41,0,3,54,14,0,57,49,52,63,71,120
1,0,8,49,0,3,47,14,0,51,57,60,71,65,122
0,0,8,43,1,2,54,13,0,56,51,53,64,69,121
1,0,6,43,1,4,57,12,0,62,49,53,61,74,124
3,0,10,38,1,3,56,10,0,62,48,51,58,72,121
2,0,7,41,1,3,62,7,0,67,48,51,55,74,123
1,0,7,42,1,3,52,16,0,56,49,52,65,72,122
0,0,10,44,1,4,51,13,0,55,54,58,67,68,123
1,0,9,39,0,2,58,11,0,61,48,50,59,72,120
1,0,8,40,1,3,50,21,0,54,48,51,69,75,124
1,0,6,46,0,2,52,14,0,55,52,54,66,69,121
1,0,7,49,1,5,49,13,0,55,56,61,69,68,125
1,0,9,40,0,3,52,16,0,56,49,52,65,72,121
1,0,6,48,1,4,52,10,0,57,54,58,64,67,122
1,0,7,48,1,4,50,14,0,55,55,59,69,69,125
1,0,8,45,1,4,51,14,0,56,53,57,67,70,124
2,0,8,43,1,4,51,12,0,57,51,55,63,69,121
1,0,0,51,0,3,54,12,0,58,51,54,63,70,121
1,0,8,41,0,4,55,14,0,60,49,53,63,74,123
1,0,7,48,0,2,52,11,0,55,55,57,66,66,121
1,0,9,44,0,2,51,14,0,54,53,55,67,68,121
1,0,9,42,1,4,50,15,0,55,51,55,66,70,122
2,0,0,47,0,1,59,11,0,62,47,48,58,73,120
1,0,9,37,0,4,57,14,0,62,46,50,60,76,122
0,0,6,43,0,4,54,15,0,58,49,53,64,73,122
1,0,7,42,1,3,55,11,0,59,49,52,60,70,120
2,0,0,46,1,2,53,17,0,57,46,48,63,74,121
0,0,13,38,1,3,54,13,0,57,51,54,64,70,122
2,0,10,44,0,3,51,11,0,56,54,57,65,67,121
0,0,0,47,1,4,57,16,0,61,47,51,63,77,125
1,0,6,45,0,4,53,14,0,58,51,55,65,72,123
1,0,7,44,0,3,49,17,0,53,51,54,68,70,121
1,0,9,44,0,3,51,14,0,55,53,56,67,69,122
1,0,12,40,1,4,55,10,0,60,52,56,62,70,123
1,0,9,41,1,2,54,13,0,57,50,52,63,70,121
1,0,8,47,1,3,51,12,0,55,55,58,67,67,123
1,0,10,46,1,4,48,14,0,53,56,60,70,67,124
1,0,8,44,0,4,46,19,0,51,52,56,71,70,122
1,0,8,44,0,5,51,15,0,57,52,57,67,72,124
0,0,7,43,0,3,55,13,0,58,50,53,63,71,121
1,0,0,46,1,2,58,13,0,61,46,48,59,74,121
1,0,7,45,0,5,52,14,0,58,52,57,66,72,124
0,0,6,46,1,4,55,10,0,59,52,56,62,69,122
1,0,7,40,1,3,59,13,0,63,47,50,60,76,124
1,0,8,39,1,3,57,14,0,61,47,50,61,75,123
1,0,10,37,0,4,56,14,0,61,47,51,61,75,122
1,0,10,39,0,3,54,14,0,58,49,52,63,72,121
1,0,9,38,0,4,58,13,0,63,47,51,60,76,123
0,0,10,41,0,2,52,16,0,54,51,53,67,70,121
0,0,8,40,0,4,56,15,0,60,48,52,63,75,123
1,0,10,38,0,2,56,14,0,59,48,50,62,73,121
1,0,9,41,0,4,54,14,0,59,50,54,64,73,123
1,0,9,44,0,2,51,15,0,54,53,55,68,69,122
2,0,7,41,0,3,54,13,0,59,48,51,61,72,120
2,0,7,46,0,3,50,13,0,55,53,56,66,68,121
1,0,6,49,1,2,53,10,0,56,55,57,65,66,122
8,0,9,38,0,2,52,12,0,62,47,49,59,74,121
1,0,7,48,0,4,48,16,0,53,55,59,71,69,124
1,0,0,49,0,2,59,10,0,62,49,51,59,72,121
0,0,10,43,1,4,52,12,0,56,53,57,65,68,122
1,0,0,47,1,2,58,14,0,61,47,49,61,75,123
1,0,0,47,1,4,51,18,0,56,47,51,65,74,122
1,0,7,44,0,3,57,10,0,61,51,54,61,71,122
0,0,7,50,0,4,44,15,0,48,57,61,72,63,120
1,0,0,51,1,3,54,11,0,58,51,54,62,69,121
1,0,7,41,0,5,53,17,0,59,48,53,65,76,124
1,0,7,45,1,3,54,13,0,58,52,55,65,71,124
0,0,10,43,1,3,49,15,0,52,53,56,68,67,121
1,0,7,40,1,3,56,14,0,60,47,50,61,74,122
1,0,8,38,1,4,51,19,0,56,46,50,65,75,122
1,0,8,44,0,2,53,13,0,56,52,54,65,69,121
0,0,9,41,1,4,56,12,0,60,50,54,62,72,123
1,0,12,37,0,4,57,11,0,62,49,53,60,73,122
1,0,7,45,1,2,52,13,0,55,52,54,65,68,121
0,0,0,51,1,2,58,10,0,60,51,53,61,70,122
1,0,8,42,1,3,55,12,0,59,50,53,62,71,122
1,0,10,41,1,4,50,15,0,55,51,55,66,70,122
1,0,9,40,1,2,50,18,0,53,49,51,67,71,121
1,0,7,42,0,3,54,15,0,58,49,52,64,73,122
1,0,10,41,0,4,51,16,0,56,51,55,67,72,123
1,0,11,42,0,4,52,11,0,57,53,57,64,68,121
1,0,0,48,1,4,53,14,0,58,48,52,62,72,121
1,0,8,42,1,3,52,15,0,56,50,53,65,71,122
1,0,7,46,0,3,54,11,0,58,53,56,64,69,122
3,0,0,43,0,2,58,14,0,63,43,45,57,77,120
0,0,8,44,0,2,50,16,0,52,52,54,68,68,120
1,0,7,39,1,1,60,13,0,62,46,47,59,75,122
1,0,0,47,0,5,57,13,0,63,47,52,60,76,123
1,0,10,41,0,2,59,8,0,62,51,53,59,70,121
0,0,7,43,1,5,58,10,0,63,50,55,60,73,124
1,0,8,45,0,2,52,13,0,55,53,55,66,68,121
1,0,9,41,0,4,54,12,0,59,50,54,62,71,121
0,0,0,52,0,3,57,9,0,60,52,55,61,69,121
0,0,0,51,1,5,55,11,0,60,51,56,62,71,123
1,0,0,47,1,4,55,13,0,60,47,51,60,73,121
1,0,9,41,3,3,52,13,0,56,50,53,63,69,122
1,0,8,41,1,2,53,16,0,56,49,51,65,72,122
1,0,8,42,1,5,50,16,0,56,50,55,66,72,123
0,0,0,49,1,4,55,14,0,59,49,53,63,73,123
1,0,8,39,1,3,60,11,0,64,47,50,58,75,123
2,0,9,41,0,2,54,13,0,58,50,52,63,71,121
1,0,8,41,1,4,52,16,0,57,49,53,65,73,123
2,0,13,31,1,2,59,13,0,63,44,46,57,76,121
1,0,7,45,0,2,54,12,0,57,52,54,64,69,121
1,0,0,46,1,3,61,10,0,65,46,49,56,75,122
1,0,8,44,0,2,51,15,0,54,52,54,67,69,121
1,0,10,44,1,4,50,13,0,55,54,58,67,68,123
2,0,8,40,0,4,54,13,0,60,48,52,61,73,121
1,0,7,45,1,2,51,15,0,54,52,54,67,69,122
1,0,6,47,1,3,54,10,0,58,53,56,63,68,122
5,0,9,40,0,4,52,13,0,61,49,53,62,74,123
0,0,6,45,1,3,56,10,0,59,51,54,61,69,121
0,0,6,46,0,4,52,14,0,56,52,56,66,70,122
1,0,7,47,0,3,53,12,0,57,54,57,66,69,123
3,0,9,43,0,5,50,12,0,58,52,57,64,70,122
1,0,8,44,1,2,54,11,0,57,52,54,63,68,121
1,0,14,35,0,2,56,12,0,59,49,51,61,71,120
0,0,10,33,1,4,58,16,0,62,43,47,59,78,122
1,0,8,40,0,5,55,13,0,61,48,53,61,74,122
0,0,8,42,1,4,56,13,0,60,50,54,63,73,124
0,0,9,39,1,2,55,15,0,57,48,50,63,72,121
1,0,7,42,0,2,53,16,0,56,49,51,65,72,121
1,0,8,41,0,5,59,10,0,65,49,54,59,75,124
1,0,7,46,0,4,50,15,0,55,53,57,68,70,123
1,0,8,40,0,4,58,12,0,63,48,52,60,75,123
1,0,9,42,1,3,55,12,0,59,51,54,63,71,123
1,0,8,41,0,4,53,15,0,58,49,53,64,73,122
0,0,6,46,0,4,53,12,0,57,52,56,64,69,121
1,0,7,45,1,5,50,15,0,56,52,57,67,71,124
1,0,9,41,0,3,59,9,0,63,50,53,59,72,122
1,0,8,45,0,4,48,17,0,53,53,57,70,70,123
